Grupa,mean,std,count
"53-084 (0,5 mg/ml)",8.666666666666666,0.5773502691896255,3
53-084 (5 mg/ml),9.666666666666666,1.1547005383792515,3
53-084 (50 mg/ml),10.666666666666666,0.5773502691896255,3
53-182 (50 mg/ml),11.0,1.0,3
53-183 (50 mg/ml),11.0,2.0,3
55-001 (50 mg/ml),8.0,0.0,3
55-009 (50 mg/ml),12.333333333333334,0.5773502691896255,3
55-023 (50 mg/ml),8.833333333333334,0.7637626158259736,3
55-156 (50 mg/ml),8.666666666666666,0.5773502691896255,3
55-163 (50 mg/ml),9.0,0.0,3
55-165 (5 mg/ml),8.666666666666666,0.5773502691896258,3
55-165 (50 mg/ml),16.666666666666668,0.5773502691896263,3
55-173 (5 mg/ml),10.0,0.0,3
55-173 (50 mg/ml),14.333333333333334,1.1547005383792517,3
55-174 (5 mg/ml),9.333333333333334,0.5773502691896258,3
55-174 (50 mg/ml),17.333333333333332,0.5773502691896255,3
55-176 (50 mg/ml),12.666666666666666,0.5773502691896255,3
55-183 (5 mg/ml),6.666666666666667,0.5773502691896258,3
55-183 (50 mg/ml),16.0,0.0,3
56-007 (5 mg/ml),9.333333333333334,0.5773502691896258,3
56-007 (50 mg/ml),16.666666666666668,0.5773502691896263,3
56-011 (50 mg/ml),7.333333333333333,0.5773502691896257,3
C1 (100%),9.0,0.0,3
C2 (100%),8.666666666666666,0.5773502691896258,3
C3 (100%),15.333333333333334,1.5275252316519468,3
C3 (30%),11.333333333333334,0.5773502691896258,3
C3 (70%),14.666666666666666,1.1547005383792515,3
C4 (100%),7.666666666666667,0.5773502691896257,3
Kontrola (+) Ampycylina,35.0,2.0,3
Kontrola (-) Woda,0.0,0.0,3
