Grupa,mean,n_bio,sd_bio,n_tech
53-182 (50 mg/ml),15.333333333333334,1,,3
53-183 (50 mg/ml),19.666666666666668,1,,3
55-009 (50 mg/ml),25.0,1,,3
"55-156 (0,5 mg/ml)",7.0,1,,3
55-156 (5 mg/ml),8.0,1,,3
55-156 (50 mg/ml),12.333333333333334,1,,3
55-163 (5 mg/ml),9.333333333333334,1,,3
55-163 (50 mg/ml),10.0,1,,3
55-165 (5 mg/ml),8.333333333333334,1,,3
55-165 (50 mg/ml),19.666666666666668,1,,3
55-173 (5 mg/ml),12.333333333333334,1,,3
55-173 (50 mg/ml),15.333333333333334,1,,3
55-174 (5 mg/ml),12.0,1,,3
55-174 (50 mg/ml),19.666666666666668,1,,3
55-183 (5 mg/ml),12.0,1,,3
55-183 (50 mg/ml),16.0,1,,3
56-007 (5 mg/ml),15.666666666666666,1,,3
56-007 (50 mg/ml),21.666666666666668,1,,3
56-011 (5 mg/ml),7.333333333333333,1,,3
56-011 (50 mg/ml),14.666666666666666,1,,3
C1 (100%),11.666666666666666,1,,3
C1 (70%),8.333333333333334,1,,3
C2 (100%),11.333333333333334,1,,3
C2 (70%),9.333333333333334,1,,3
C3 (100%),25.0,1,,3
C3 (30%),21.666666666666668,1,,3
C3 (70%),22.666666666666668,1,,3
C4 (100%),10.333333333333334,1,,3
Kontrola (+) Ampycylina,27.333333333333332,1,,3
Kontrola (-) Woda,0.0,1,,3
